Epoch: [1][100/157]	Time 1.213	ELBO 7.78123e+04	 MSE: 8.0728e+02	 MSM: 0.0000e+00
Epoch: [1][105/157]	Time 1.234	ELBO 1.07112e+05	 MSE: 7.7798e+02	 MSM: 0.0000e+00
Epoch: [1][110/157]	Time 1.228	ELBO 8.17410e+04	 MSE: 8.0333e+02	 MSM: 0.0000e+00
Epoch: [1][115/157]	Time 1.235	ELBO 1.22735e+05	 MSE: 7.6232e+02	 MSM: 0.0000e+00
Epoch: [1][120/157]	Time 1.268	ELBO 1.42878e+05	 MSE: 7.4217e+02	 MSM: 0.0000e+00
Epoch: [1][125/157]	Time 1.326	ELBO 1.63936e+05	 MSE: 7.2110e+02	 MSM: 0.0000e+00
Epoch: [1][130/157]	Time 1.357	ELBO 1.48062e+05	 MSE: 7.3697e+02	 MSM: 0.0000e+00
Epoch: [1][135/157]	Time 1.220	ELBO 1.70757e+05	 MSE: 7.1425e+02	 MSM: 0.0000e+00
Epoch: [1][140/157]	Time 1.231	ELBO 1.77307e+05	 MSE: 7.0770e+02	 MSM: 0.0000e+00
Epoch: [1][145/157]	Time 1.203	ELBO 1.45871e+05	 MSE: 7.3914e+02	 MSM: 0.0000e+00
Epoch: [1][150/157]	Time 1.231	ELBO 1.45228e+05	 MSE: 7.3977e+02	 MSM: 0.0000e+00
Epoch: [1][155/157]	Time 1.203	ELBO 1.96588e+05	 MSE: 6.8840e+02	 MSM: 0.0000e+00
Epoch: [2][5/157]	Time 1.208	ELBO 1.81677e+05	 MSE: 7.0329e+02	 MSM: 0.0000e+00
Epoch: [2][10/157]	Time 1.188	ELBO 2.15996e+05	 MSE: 6.6897e+02	 MSM: 0.0000e+00
Epoch: [2][15/157]	Time 1.189	ELBO 2.26496e+05	 MSE: 6.5845e+02	 MSM: 0.0000e+00
Epoch: [2][20/157]	Time 1.193	ELBO 2.24808e+05	 MSE: 6.6014e+02	 MSM: 0.0000e+00
Epoch: [2][25/157]	Time 1.188	ELBO 2.65032e+05	 MSE: 6.1990e+02	 MSM: 0.0000e+00
Epoch: [2][30/157]	Time 1.195	ELBO 2.58570e+05	 MSE: 6.2635e+02	 MSM: 0.0000e+00
Epoch: [2][35/157]	Time 1.260	ELBO 2.85399e+05	 MSE: 5.9952e+02	 MSM: 0.0000e+00
Epoch: [2][40/157]	Time 1.252	ELBO 2.83837e+05	 MSE: 6.0108e+02	 MSM: 0.0000e+00
Epoch: [2][45/157]	Time 1.180	ELBO 2.65605e+05	 MSE: 6.1930e+02	 MSM: 0.0000e+00
Epoch: [2][50/157]	Time 1.196	ELBO 3.01759e+05	 MSE: 5.8315e+02	 MSM: 0.0000e+00
Epoch: [2][55/157]	Time 1.171	ELBO 3.10776e+05	 MSE: 5.7413e+02	 MSM: 0.0000e+00
Epoch: [2][60/157]	Time 1.174	ELBO 3.43059e+05	 MSE: 5.4184e+02	 MSM: 0.0000e+00
Epoch: [2][65/157]	Time 1.261	ELBO 2.99425e+05	 MSE: 5.8547e+02	 MSM: 0.0000e+00
Epoch: [2][70/157]	Time 1.218	ELBO 3.38279e+05	 MSE: 5.4661e+02	 MSM: 0.0000e+00
Epoch: [2][75/157]	Time 1.216	ELBO 3.21160e+05	 MSE: 5.6373e+02	 MSM: 0.0000e+00
